iter	RMSE
0	14.85878599
1	14.49226186
2	14.11338378
3	13.74043969
4	13.40873802
5	13.10802873
6	12.80391605
7	12.52422562
8	12.24796446
9	11.95328206
10	11.67632294
11	11.43408663
12	11.20918533
13	10.96730345
14	10.7254987
15	10.47978196
16	10.26372209
17	10.05419271
18	9.847630271
19	9.657197628
20	9.488502039
21	9.327875091
22	9.159204759
23	8.993230517
24	8.839249083
25	8.679514497
26	8.527692889
27	8.401138496
28	8.264542737
29	8.137547325
30	8.038111437
31	7.908606753
32	7.794349437
33	7.686767996
34	7.579490514
35	7.48610598
36	7.387673119
37	7.298129086
38	7.21336546
39	7.138511741
40	7.054224338
41	6.980718396
42	6.909683807
43	6.839087697
44	6.768136991
45	6.694025365
46	6.62981641
47	6.573745943
48	6.513277296
49	6.454908647
50	6.403131789
51	6.353869555
52	6.309765148
53	6.259454588
54	6.208060966
55	6.164625698
56	6.121735785
57	6.086930484
58	6.053753694
59	6.023901493
60	5.988405709
61	5.951828719
62	5.920499295
63	5.884766443
64	5.855102868
65	5.828663729
66	5.79992141
67	5.771323003
68	5.744750368
69	5.719322474
70	5.691324802
71	5.670552605
72	5.649709469
73	5.625968368
74	5.607866933
75	5.588725748
76	5.571733345
77	5.552373828
78	5.53511461
79	5.517619866
80	5.500493795
81	5.48430375
82	5.46560644
83	5.450216909
84	5.431936743
85	5.412009658
86	5.398190672
87	5.387385782
88	5.37486857
89	5.362827457
90	5.352253252
91	5.343256982
92	5.326154969
93	5.316107852
94	5.30610782
95	5.296998014
96	5.286478176
97	5.278483034
98	5.269690356
99	5.26097425
100	5.25120899
101	5.243028059
102	5.233744351
103	5.222220839
104	5.212026391
105	5.207200387
106	5.196879283
107	5.190829058
108	5.184621427
109	5.176632228
110	5.167192503
111	5.160774971
112	5.153662148
113	5.148874186
114	5.140729632
115	5.136495911
116	5.129163703
117	5.122827716
118	5.117323968
119	5.109475193
120	5.104043586
121	5.094601055
122	5.090076825
123	5.085854221
124	5.080115417
125	5.072896759
126	5.067345016
127	5.061961779
128	5.056361863
129	5.050465593
130	5.045033289
131	5.038159957
132	5.031471347
133	5.02592603
134	5.023089792
135	5.020831415
136	5.016745597
137	5.009003915
138	5.006153058
139	5.001680101
140	4.998097793
141	4.993728773
142	4.993320515
143	4.989616917
144	4.984047844
145	4.978221853
146	4.973218947
147	4.966292509
148	4.961767646
149	4.957717294
150	4.95258751
151	4.947674642
152	4.943173409
153	4.939109871
154	4.934325528
155	4.927918967
156	4.92471262
157	4.920326749
158	4.917195267
159	4.912723754
160	4.909945697
161	4.906356195
162	4.902262794
163	4.898021504
164	4.892711849
165	4.888289369
166	4.885879806
167	4.881173104
168	4.879439159
169	4.87390966
170	4.87060009
171	4.866877398
172	4.860795336
173	4.855133207
174	4.850421673
175	4.846454191
176	4.842100864
177	4.836420456
178	4.830919718
179	4.823507819
180	4.817659195
181	4.812623911
182	4.80908933
183	4.805681714
184	4.801932886
185	4.799757706
186	4.792115412
187	4.78796838
188	4.783587281
189	4.780003495
190	4.775088128
191	4.772746767
192	4.768209175
193	4.764746507
194	4.759865182
195	4.758307306
196	4.754144784
197	4.749675143
198	4.74580936
199	4.742581331
200	4.738596311
201	4.735704103
202	4.733240384
203	4.725256841
204	4.721914164
205	4.717214138
206	4.711465537
207	4.709775667
208	4.707823813
209	4.705385027
210	4.699414784
211	4.696928914
212	4.696785963
213	4.69086607
214	4.686562463
215	4.684434261
216	4.681812883
217	4.679270647
218	4.675226577
219	4.66935117
220	4.665325685
221	4.662848425
222	4.659057512
223	4.653161336
224	4.650999826
225	4.645755145
226	4.64175971
227	4.640596767
228	4.637288587
229	4.631593802
230	4.628573875
231	4.626066121
232	4.623067405
233	4.619755045
234	4.615417915
235	4.612210087
236	4.60935551
237	4.605510422
238	4.603170034
239	4.599004235
240	4.597728695
241	4.595308059
242	4.592930154
243	4.58907269
244	4.583605282
245	4.578799193
246	4.575351116
247	4.573047176
248	4.567260927
249	4.566350724
250	4.563454042
251	4.56262477
252	4.558716457
253	4.552799897
254	4.550054682
255	4.546948244
256	4.545268374
257	4.542275694
258	4.53995013
259	4.538199827
260	4.537542568
261	4.531911644
262	4.530894797
263	4.529161793
264	4.525450199
265	4.522368053
266	4.520504787
267	4.519300568
268	4.514124097
269	4.513418368
270	4.509429788
271	4.504928493
272	4.499935407
273	4.4957258
274	4.493867058
275	4.492851845
276	4.490634603
277	4.486879789
278	4.486265773
279	4.480236843
280	4.476620235
281	4.47381214
282	4.468516156
283	4.462627417
284	4.460783115
285	4.45757961
286	4.453766604
287	4.453141395
288	4.449849056
289	4.447045555
290	4.441067459
291	4.433307634
292	4.432794609
293	4.432169052
294	4.431666729
295	4.428879339
296	4.426394266
297	4.420145466
298	4.41545045
299	4.41473847
300	4.410858981
301	4.410136393
302	4.408908645
303	4.401698958
304	4.39902298
305	4.39377915
306	4.38756701
307	4.387034661
308	4.383325988
309	4.37660159
310	4.374240601
311	4.372162529
312	4.365714482
313	4.363711437
314	4.361260899
315	4.359047521
316	4.357109419
317	4.352439475
318	4.351859402
319	4.346428674
320	4.343822422
321	4.338712291
322	4.336758874
323	4.333182291
324	4.329432832
325	4.323922023
326	4.320501666
327	4.313106786
328	4.309047563
329	4.303899235
330	4.302436047
331	4.301761324
332	4.301124428
333	4.300677455
334	4.298859081
335	4.294165709
336	4.289686094
337	4.289143515
338	4.287556663
339	4.285207695
340	4.280062466
341	4.277965132
342	4.27558359
343	4.272966009
344	4.268069592
345	4.263908162
346	4.262863329
347	4.256991087
348	4.253141197
349	4.250680575
350	4.247692087
351	4.243919903
352	4.241124103
353	4.240523286
354	4.239025944
355	4.238535393
356	4.235896165
357	4.231045163
358	4.228361814
359	4.22788597
360	4.225466346
361	4.225089538
362	4.222812041
363	4.220019699
364	4.21613513
365	4.213788964
366	4.210061601
367	4.208880825
368	4.205906723
369	4.205102239
370	4.200101246
371	4.197130943
372	4.19236435
373	4.187096946
374	4.18662013
375	4.183029893
376	4.182692871
377	4.176513037
378	4.174436003
379	4.171671641
380	4.167935926
381	4.163310801
382	4.16118109
383	4.160855415
384	4.158243978
385	4.155250141
386	4.150112664
387	4.147208897
388	4.146612048
389	4.145156173
390	4.143779426
391	4.140819122
392	4.138161344
393	4.137672474
394	4.1354649
395	4.133107361
396	4.131485451
397	4.129676863
398	4.123067714
399	4.120216338
400	4.117721672
401	4.1173316
402	4.112618046
403	4.108501959
404	4.105271033
405	4.103741906
406	4.102520322
407	4.098391781
408	4.094001141
409	4.091642718
410	4.088222572
411	4.085988928
412	4.081653955
413	4.080587913
414	4.078001959
415	4.074719711
416	4.070916212
417	4.069143257
418	4.065200973
419	4.064349392
420	4.064021448
421	4.06191416
422	4.06033612
423	4.056480483
424	4.055865675
425	4.053767952
426	4.051529245
427	4.051051677
428	4.046352858
429	4.044291169
430	4.04137554
431	4.039276918
432	4.03691204
433	4.034961339
434	4.032648089
435	4.03195034
436	4.027345286
437	4.022784815
438	4.0189402
439	4.017433184
440	4.014868847
441	4.014129911
442	4.011367318
443	4.010721669
444	4.009057972
445	4.005169251
446	4.002202818
447	3.998997736
448	3.996393455
449	3.992624295
450	3.988754644
451	3.98819236
452	3.987688715
453	3.987235936
454	3.985462851
455	3.981290378
456	3.979500407
457	3.977162148
458	3.972842039
459	3.97057704
460	3.970243015
461	3.966717667
462	3.964269361
463	3.963450662
464	3.960542455
465	3.956515821
466	3.952654441
467	3.948723566
468	3.946293938
469	3.944327557
470	3.940730129
471	3.937680489
472	3.935611223
473	3.932697759
474	3.92845856
475	3.928082596
476	3.92684519
477	3.922863135
478	3.921714217
479	3.919051055
480	3.918725695
481	3.915148825
482	3.913440107
483	3.909690152
484	3.908328977
485	3.906662937
486	3.90400292
487	3.902372815
488	3.900479853
489	3.897074946
490	3.894428544
491	3.891619305
492	3.887951204
493	3.884240798
494	3.881986121
495	3.878357119
496	3.877410853
497	3.876928769
498	3.873570295
499	3.868657429
500	3.864988405
501	3.859267285
502	3.857675141
503	3.853418278
504	3.850024256
505	3.846953797
506	3.841985528
507	3.83744046
508	3.835229197
509	3.831766362
510	3.829330551
511	3.828812274
512	3.825483122
513	3.825081335
514	3.822441531
515	3.820132324
516	3.817159666
517	3.813912171
518	3.812221381
519	3.810419414
520	3.808835792
521	3.808329539
522	3.804779737
523	3.801722882
524	3.79934012
525	3.798424792
526	3.794543191
527	3.792668891
528	3.790268743
529	3.788015552
530	3.786109861
531	3.783842167
532	3.781120407
533	3.779589568
534	3.776566686
535	3.774586301
536	3.770660901
537	3.770170246
538	3.76876147
539	3.767623552
540	3.763829144
541	3.760496107
542	3.758572379
543	3.75604322
544	3.750976332
545	3.749124432
546	3.74735363
547	3.744743093
548	3.743656106
549	3.741816387
550	3.739114055
551	3.734956411
552	3.733105112
553	3.730333194
554	3.725528528
555	3.723830674
556	3.721166224
557	3.718601006
558	3.717791345
559	3.713058416
560	3.710754966
561	3.708104547
562	3.703608256
563	3.701618837
564	3.698318329
565	3.697962376
566	3.695434029
567	3.693225709
568	3.689071277
569	3.687829809
570	3.685730157
571	3.682552101
572	3.680434098
573	3.677624917
574	3.675744151
575	3.673567651
576	3.669254807
577	3.666487229
578	3.663781239
579	3.661388896
580	3.659315855
581	3.65568574
582	3.653948891
583	3.652956184
584	3.651020033
585	3.647654588
586	3.644743696
587	3.642491989
588	3.639287499
589	3.637946572
590	3.634759895
591	3.631915452
592	3.62975918
593	3.629012112
594	3.625682568
595	3.623818185
596	3.620980338
597	3.618499271
598	3.61626604
599	3.612832299
600	3.608773023
601	3.605174433
602	3.601712866
603	3.601443256
604	3.60082723
605	3.598847473
606	3.597336591
607	3.59407399
608	3.591084994
609	3.588915926
610	3.587043417
611	3.585225802
612	3.582799471
613	3.579742701
614	3.578370668
615	3.578034691
616	3.575808225
617	3.572706427
618	3.57025123
619	3.569916981
620	3.569265229
621	3.568104508
622	3.567050718
623	3.566038318
624	3.565696456
625	3.563451216
626	3.561434628
627	3.558129786
628	3.556183072
629	3.554084937
630	3.551391541
631	3.550266533
632	3.548947431
633	3.545951658
634	3.54402634
635	3.540726032
636	3.537086193
637	3.53558423
638	3.532662654
639	3.530777765
640	3.52798131
641	3.525883802
642	3.524382759
643	3.52064562
644	3.519094435
645	3.517736319
646	3.514198514
647	3.510871056
648	3.507599903
649	3.506429361
650	3.504652653
651	3.503080268
652	3.499453035
653	3.496285926
654	3.494513673
655	3.49190606
656	3.490405988
657	3.488993183
658	3.485816407
659	3.483000304
660	3.479420203
661	3.477666828
662	3.474671452
663	3.473000643
664	3.471342019
665	3.46783548
666	3.464665443
667	3.461481588
668	3.460368674
669	3.458210763
670	3.456855692
671	3.453493954
672	3.450632857
673	3.447125478
674	3.446391179
675	3.44443936
676	3.442631888
677	3.442159199
678	3.441641095
679	3.440622488
680	3.438187631
681	3.437925727
682	3.437000296
683	3.435830347
684	3.43387659
685	3.431675055
686	3.430565909
687	3.43027772
688	3.428161229
689	3.427605744
690	3.424598151
691	3.423666885
692	3.420944599
693	3.417803221
694	3.417504421
695	3.415472117
696	3.41517292
697	3.413511866
698	3.412367274
699	3.411392107
700	3.410477829
701	3.410114554
702	3.409186086
703	3.408299518
704	3.407972556
705	3.406514265
706	3.406191793
707	3.405050651
708	3.401997281
709	3.398536869
710	3.396829334
711	3.395804174
712	3.394292233
713	3.391769821
714	3.391033464
715	3.389097563
716	3.387089582
717	3.3847802
718	3.383041764
719	3.382591435
720	3.38163583
721	3.379758739
722	3.376589756
723	3.373206138
724	3.372803804
725	3.372067775
726	3.370028083
727	3.367902447
728	3.366157331
729	3.364792066
730	3.364169738
731	3.36330297
732	3.361464705
733	3.358797596
734	3.358552202
735	3.356225578
736	3.353187777
737	3.351712147
738	3.351057319
739	3.350432577
740	3.350177113
741	3.348351114
742	3.347085838
743	3.344609796
744	3.342247605
745	3.341015876
746	3.340789285
747	3.340158436
748	3.339660531
749	3.338069567
750	3.3346052
751	3.334153366
752	3.33228459
753	3.331361526
754	3.331056361
755	3.32882018
756	3.328550425
757	3.328185831
758	3.328051452
759	3.325790498
760	3.322485421
761	3.320972627
762	3.31826297
763	3.315007552
764	3.312076574
765	3.309533456
766	3.308661807
767	3.305702786
768	3.302811642
769	3.301525727
770	3.30120087
771	3.297940215
772	3.295622135
773	3.295325995
774	3.292302615
775	3.289073738
776	3.28684944
777	3.284313089
778	3.282277581
779	3.282065441
780	3.279822802
781	3.278589972
782	3.277152685
783	3.274723197
784	3.272477863
785	3.270296334
786	3.2677263
787	3.265490648
788	3.262690963
789	3.262037137
790	3.26073595
791	3.257763082
792	3.256645308
793	3.255235601
794	3.252563271
795	3.252159923
796	3.25175053
797	3.251277933
798	3.249636169
799	3.248072628
800	3.244149461
801	3.243218438
802	3.240388935
803	3.239357609
804	3.237584791
805	3.237273837
806	3.234924136
807	3.232384938
808	3.230883572
809	3.227397535
810	3.225313886
811	3.224646464
812	3.224401465
813	3.221855946
814	3.219446467
